Unnamed: 0,name,year,decade
698,John Paul II,1994,1990s
699,Newt Gingrich,1995,1990s
700,Rush Limbaugh,1995,1990s
701,Great Hanshin earthquake,1995,1990s
702,Johnnie Cochran,1995,1990s
703,Fidel Castro,1995,1990s
704,Nicholas Leeson,1995,1990s
705,David Geffen,1995,1990s
706,Shoko Asahara,1995,1990s
707,Noël Coypel,1995,1990s
708,Claudia Schiffer,1995,1990s
709,Vietnam,1995,1990s
710,Timothy McVeigh,1995,1990s
711,"Ralph E. Reed, Jr.",1995,1990s
712,Ramesses II,1995,1990s
713,Bill Gates,1995,1990s
714,Scott O'Grady,1995,1990s
715,Colin Powell,1995,1990s
716,Bob Dole,1995,1990s
717,Colin Powell,1995,1990s
718,Michael Crichton,1995,1990s
719,O.J. Simpson,1995,1990s
720,Dick Carver,1995,1990s
721,Pat Buchanan,1995,1990s
722,Yitzhak Rabin,1995,1990s
723,Bob Dole,1995,1990s
724,Andrew F. Hawley,1995,1990s
725,Elisa Izquierdo,1995,1990s
726,Newt Gingrich,1995,1990s
727,William Bratton,1996,1990s
728,Steve Forbes,1996,1990s
729,Magic Johnson,1996,1990s
730,Marc Andreessen,1996,1990s
731,Pat Buchanan,1996,1990s
732,George Galatis,1996,1990s
733,Princess Diana,1996,1990s
734,Hillary Clinton,1996,1990s
735,Norman Schwarzkopf,1996,1990s
736,Ted Kaczynski,1996,1990s
737,Jessica Dubroff,1996,1990s
738,John F. Kennedy,1996,1990s
739,Billy Graham,1996,1990s
740,Benjamin Netanyahu,1996,1990s
741,Hillary Clinton,1996,1990s
742,Boris Yeltsin,1996,1990s
743,Prince William,1996,1990s
744,Michael Johnson,1996,1990s
745,Bob Dole,1996,1990s
746,Christopher Reeve,1996,1990s
747,Dick Morris,1996,1990s
748,Dick Morris,1996,1990s
749,Bill Gates,1996,1990s
750,Ned Johnson,1996,1990s
751,Diane Keaton,1996,1990s
752,Bob Dole,1996,1990s
753,Bill Clinton,1996,1990s
754,O.J. Simpson,1996,1990s
755,David Ho,1996,1990s
756,Bill Gates,1997,1990s
757,Bill Cosby,1997,1990s
758,O.J. Simpson,1997,1990s
759,Deng Xiaoping,1997,1990s
760,Dolly,1997,1990s
761,Marshall Applewhite,1997,1990s
762,Ellen DeGeneres,1997,1990s
763,Andrew Weil,1997,1990s
764,Steven Spielberg,1997,1990s
765,Kelly Finn,1997,1990s
766,Timothy McVeigh,1997,1990s
767,Gianni Versace,1997,1990s
768,Steve Jobs,1997,1990s
769,George Soros,1997,1990s
770,Princess Diana,1997,1990s
771,Princess Diana,1997,1990s
772,Steve Case,1997,1990s
773,Brad Pitt,1997,1990s
774,Hillary Clinton,1997,1990s
775,Michael Foale,1997,1990s
776,Alan Greenspan,1997,1990s
777,John F. Kennedy,1997,1990s
778,Bill Clinton,1997,1990s
779,Kenny McCaughey,1997,1990s
780,Al Gore,1997,1990s
781,Princess Diana,1997,1990s
782,Andrew Grove,1997,1990s
783,Jerry Seinfeld,1998,1990s
784,Toni Morrison,1998,1990s
785,Fidel Castro,1998,1990s
786,Monica Lewinsky,1998,1990s
787,Kenneth Starr,1998,1990s
788,Bill Clinton,1998,1990s
